iso3,period,year,quarter,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux,wui_raw,wui_ma3,wui_global,specA,covid,ln_gwc_gen,ln_gwc_fam
NGA,2022Q4,2022,4,NA,NA,NA,NA,18.271929,73.96062,73.59741,92.044335,102.072441,14.458368,4.640646,9.004062,4,4,3233119533.968293,4784437999.718521,2379492232.593284,4403804121.056772,1001144238.0935011,1379063450.305163,558486198.6921492,1197627745.270401,0,0.0150382,26500.43,TRUE,FALSE,20.724409420898454,21.044670446522968
SAU,2019Q1,2019,1,1.236053,0.038165,107415.990791,3316.631183,37.590116,576.727282,85.663144,73.691331,76.023028,97.393831,1.823304,0.499302,31,2,11784636.86,228000.59,10095090.49,168016.67,11784636.86,228000.59,10095090.49,168016.67,0.2531646,0.0781338,36588.02,TRUE,FALSE,16.282307280131327,12.337103495652528
SAU,2019Q2,2019,2,1.236053,0.038165,107415.990791,3316.631183,38.852223,571.011592,82.990637,73.933497,116.221984,98.312609,1.767958,0.41554,31,2,8004760.08932,245039.22952,6643201.375666,181166.07213,8004760.08932,245039.22952,6643201.375666,181166.07213,0.3156317,0.0956711,40489.04,TRUE,FALSE,15.895546933860155,12.409173597198743
SAU,2019Q3,2019,3,1.236053,0.038165,107415.990791,3316.631183,38.101455,572.367784,87.122867,75.393984,101.129375,105.163211,1.690354,-0.05166,31,2,8652816.16885,224138.48357,7538581.556631,168986.93157,8652816.16885,224138.48357,7538581.556631,168986.93157,0,0.040002,32800.98,TRUE,FALSE,15.973395394575267,12.320019370034814
SAU,2019Q4,2019,4,1.236053,0.038165,107415.990791,3316.631183,40.030135,413.755407,79.457941,63.749301,117.427916,73.944963,1.960604,0.292201,31,2,8313390.61846,437706.55355,6605648.998307,279034.86615,8313390.61846,437706.55355,6605648.998307,279034.86615,0.2076412,0.0520493,52716.26,TRUE,FALSE,15.93337810027732,12.989303995765091
SAU,2020Q1,2020,1,1.428906,0.048131,107185.98845,3610.401346,36.799996,431.401256,83.363103,66.169948,78.408513,97.324655,1.410143,-0.522825,30,2,12439485.17212,304568.69724,10369940.809056,201532.94829,12439485.17212,304568.69724,10369940.809056,201532.94829,0.2805364,0.0768714,55684.71,TRUE,TRUE,16.336386259541115,12.626651947386232
SAU,2020Q2,2020,2,1.428906,0.048131,107185.98845,3610.401346,39.936989,424.207546,80.596731,67.207879,101.456942,103.720512,1.868445,0.422408,30,2,8340859.88602,325645.47075,6722460.38547,218859.41253,8340859.88602,325645.47075,6722460.38547,218859.41253,0.0465419,0.0442834,28914.37,TRUE,TRUE,15.936676872859422,12.693564555540654
SAU,2020Q3,2020,3,1.428906,0.048131,107185.98845,3610.401346,42.727608,429.136084,84.15374,73.060524,99.094435,107.939915,1.212304,0.474279,30,2,8547019.19222,298011.12825,7192636.332736,217728.49217,8547019.19222,298011.12825,7192636.332736,217728.49217,0.1699139,0.0479882,27497.73,TRUE,TRUE,15.96109314763762,12.60488610791111
SAU,2020Q4,2020,4,1.428906,0.096261,107185.98845,7220.802692,44.053156,426.589619,83.562128,65.969771,115.577234,102.031856,1.538934,0.3155,29,2,8187730.708684,335415.17489,6841841.995692,221272.6226,8187730.708684,335415.17489,6841841.995692,221272.6226,0.1592949,0.0504018,22319.62,TRUE,TRUE,15.918147336688525,12.72312437150399
SAU,2021Q1,2021,1,1.290022,0.054618,115209.262815,4877.79688,41.339356,415.982154,86.091347,68.485819,73.176075,96.786025,1.364387,0.493612,29,2,12411083.019444,384490.11398,10684868.57724,263321.20293,12411083.019444,384490.11398,10684868.57724,263321.20293,0.0885112,0.0392955,11888.73,TRUE,TRUE,16.334100423271785,12.859673356231884
SAU,2021Q2,2021,2,1.290022,0.054618,115209.262815,4877.79688,42.037617,393.730926,77.533041,61.678863,112.036039,114.065965,1.506409,0.455432,29,2,9014637.716295,436399.2867,6989322.738093,269166.11633,9014637.716295,436399.2867,6989322.738093,269166.11633,0.176046,0.0493702,18072.81,TRUE,TRUE,16.01436022704499,12.986312898430093
SAU,2021Q3,2021,3,1.290022,0.054618,115209.262815,4877.79688,44.142679,387.518344,83.042577,65.550888,105.407838,117.051627,1.121343,0.436123,29,2,9506234.118295,374987.3934,7894221.774246,245807.56473,9506234.118295,374987.3934,7894221.774246,245807.56473,0.1998534,0.0605257,21508.56,TRUE,FALSE,16.067458364329042,12.834647686787463
SAU,2021Q4,2021,4,1.290022,0.054618,115209.262815,4877.79688,43.990126,375.325717,84.702952,58.704961,116.717918,106.32966,1.242926,0.417568,28,2,9391287.131088,511352.11376,7954697.446738,300189.05835,9391287.131088,511352.11376,7954697.446738,300189.05835,0.0538387,0.0366213,19802.65,TRUE,FALSE,16.05529291645383,13.144813699910959
